Series_Accession,Platform,Platform_Description,Sample,Drug,Disease,Tissue,PMID,Download,file_path,normalized
GSE167241,GPL24676,"Illumina NovaSeq 6000 (Homo sapiens)",24,BET inhibitor (IBET-151); CDK9 inhibitor (CDKI73),Melanoma,Cutaneous melanoma cell lines,33781756,,,
GSE141147,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",24,Selinexor,Myelodysplastic syndromes (MDS),,32735836,,,
GSE157560,GPL23227,"BGISEQ-500 (Homo sapiens)",24,SK-3-91 pan-kinase degrader,,MOLT4 cells,33275901,,,
GSE137574,GPL17586,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],24,Kevetrin,Acute myeloid leukemia (AML),,32945487,,,
GSE138942,GPL17301,Ion Torrent PGM (Homo sapiens),24,BET inhibitor JQ1,Glioblastoma multiforme (GBM),Patient-derived GBM cell lines,31754113,,,
GSE138233,GPL14550,Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version),24,DOXO (doxorubicin),triple negative breast cancer (TNBC),MDA-MB-436 cell line,31537618,,,
GSE126232,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",24,ISRIB,Lung adenocarcinoma (LUAD), PC9 cells (a human LUAD cell line),31551255,,,
GSE98126,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",24,Temozolomide (TMZ),Glioblastom,Brain,,,,
GSE126768,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",24,Ixazomib and Belinostat,Hodgkin and T-cell Lymphoma,primary lymphoma cells obtained from cells isolated from ascites fluid of a patient with enteropathy-associated T-cell lymphoma,,,,
GSE118197,GPL25431,"Illumina HiSeq 4000 (Homo sapiens; Mus musculus)",24,Gemcitabine and Acriflavine,Pancreatic ductal adenocarcinoma,Tumor and stroma,32764982; 30899378,,,
GSE118231,GPL21290,"Illumina HiSeq 3000 (Homo sapiens)",24,PORCN inhibitor,pancreatic ductal adenocarcinoma (PDAC),HPAF-II orthotopic model,30300142,,,
GSE103208,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,24,Ginkgo biloba (EGb761),Hepatocellular carcinoma (HCC),Liver (malignant and non-malignant cells),,,,
GSE116529,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",24,YM155,Colorectal cancer,Human colorectal cancer cells,33186476,,,
GSE106819,GPL20844,Agilent-072363 SurePrint G3 Human GE v3 8x60K Microarray 039494 [Feature Number Version],24,everolimus,clear cell renal cell carcinoma (ccRCC),renal (kidney) cell carcinoma cell lines,29508215,,,
GSE114059,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,24,trametinib,colorectal cancer (CRC),colon cancer stem cells,31097693,,,
GSE98230,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",24,5-FdU-ECyd,ovarian cancer,platinum-sensitive A2780; isogenic platinum-resistant A2780cis cells,29100359,,,
GSE73046,GPL10904,Illumina HumanHT-12 V4.0 expression beadchip (gene symbol),24,,pancreatic ductal adenocarcinoma (PDAC),,29363544,,,
GSE84146,GPL6480,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version),24,Cisplatin,Lung and Ovarian cancers,Cancer cell lines and primary tumor samples,29158814,,,
GSE103115,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",24,Cisplatin,Triple-negative breast cancer (TNBC),Breast cancer cells (specifically MDA-MB-231; MDA-MB-157; BT549; and HCC38 cell lines),31461651,,,
GSE97979,GPL11154,"Illumina HiSeq 2000 (Homo sapiens)",24,,Cancer,HEK293∆RAF1:ER cells (human embryonic kidney cells with a deletion in the RAF1 gene and a fusion protein containing the ER ligand-binding domain),29295995,,,
GSE72927,GPL6947,"Illumina HumanHT-12 V3.0 expression beadchip",24,Library of potential antiglioblastoma compounds (not specified),Glioblastom,Human glioblastoma cells (cultured samples from surgical specimens; as well as the U-87 cell line; fibroblasts; and embryonic stem cell-derived neural progenitors were also analyzed for comparison),27521447,,,
GSE58899,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,24,AEZS-136 (a dual PI3K/ERK inhibitor),Hodgkin Lymphoma,Hodgkin lymphoma cell lines (L-540; SUP-HD1; KM-H2; and L-428),27767172,,,
GSE53772,GPL13497,Agilent-026652 Whole Human Genome Microarray 4x44K v2 (Probe Name version),24,FK866,,Jurkat cells (human T lymphocyte cell line),,,,
GSE59805,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,24,Dexamethasone (a glucocorticoid),Multiple Myeloma,Myeloma cells (MM1S and MM1R cell lines),25474406,,,
GSE45867,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,24,Tocilizumab,Rheumatoid arthritis,Synovium (biopsies taken from patients with rheumatoid arthritis),25927832; 24449571,,,
GSE46914,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,24,Interferon-gamma (IFN-γ),Septic shock,PBMCs (Peripheral blood mononuclear cells) from healthy donors.,23874546,,,
GSE45758,GPL571,"[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array",24,MEK inhibitor PD0325901,pancreatic cancer,pancreatic tissue in mice,22833572,,,
GSE44172,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,24,chemoradiation,advanced rectal cancer,mononuclear peripheral blood cells,,,,
GSE33135,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",24,Dexamethasone,Chronic lymphocytic leukemia,Peripheral blood mononuclear cells,22966019,,,
GSE34686,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",24,MEK inhibitor PD0325901; BRAFV600E-specific inhibitor PLX4720; cytotoxic drugs camptothecin; celecoxib; fotemustine; and temozolomide; and soluble or membrane-bound TRAIL.,Melanoma,Human melanoma cell lines and surgical specimens,22553342,,,
GSE28992,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",24,NVP-BEZ235,ovarian cancer,human ovarian cancer cell lines grown in 3D culture,22340595,,,
GSE32492,GPL6102,Illumina human-6 v2.0 expression beadchip,24,5-Aza-2-deoxycytidine (5AzadC) and Trichostatin A,Melanoma,Melanoma cell lines and fresh tumors,18803327,,,
GSE23070,GPL10716,"Cambridge/CodeLink UniSet Human 20K I Bioarray",24,,,,21244711,,,
GSE24742,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,24,Rituximab,Rheumatoid arthritis,Synovial biopsies from the affected knee of anti-TNF resistant RA patients,25927832,,,
GSE24742,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,24,Rituximab,Rheumatoid arthritis,Synovial biopsies from the affected knee of anti-TNF resistant RA patients,25927832,,,
GSE18407,GPL6118; GPL6254,Clostridium difficile 630/QCD32g58 array; Phalanx Human OneArray,24,,Clostridium difficile infection (CDI),Caco-2 cells and Clostridium difficile,20521945,,,
GSE15946,GPL8019,Affymetrix GeneChip Human Genome U133 Plus 2.0 Array [CDF: HGU133Plus2_Hs_ENTREZG v11.0.1],24,Lovastatin,Multiple myeloma (MM),Cell lines (KMS11; H929; LP1; and SKMM1),20360469,,,
GSE14808,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,24,Estradiol (E) and medroxyprogesterone acetate (P),Endometrial stromal cells,Endometrial stromal cells,19843877,,,
GSE13987,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,24,Rolipram,B lineage chronic lymphocytic leukemia (B-CLL),B-CLL cells; normal B cells; and normal T cells,19380787,,,
GSE11830,GPL6259,"SBC Human 16K cDNA Microarray",24,GBE (not specified whether it's a specific compound or a mixture of compounds),,HepG2 cells (a human liver cancer cell line),19701231,,,
GSE12299,GPL6104,Illumina humanRef-8 v2.0 expression beadchip,24,,,,28977426; 18927631,,,
GSE7538,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",24,parthenolide (PTL),primary acute myelogenous leukemia (AML),CD34+ cells obtained from AML patients,27888238; 24934933,,,
GSE152322,GPL10558,"Illumina HumanHT-12 V4.0 expression beadchip",23,Cisplatin,Triple-negative breast cancer (TNBC),,32806777,,,
GSE143152,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",23,prexasertib,,,32076484,,,
GSE31432,GPL6947,"Illumina HumanHT-12 V3.0 expression beadchip",23,Trastuzumab and pertuzumab,Ovarian cancer,SKOV3 tumor xenografts (human ovarian cancer cell line xenografts),22549178,,,
GSE31432,GPL6947,"Illumina HumanHT-12 V3.0 expression beadchip",23,Trastuzumab and pertuzumab,Ovarian cancer,SKOV3 tumor xenografts (human ovarian cancer cell line xenografts),22549178,,,
GSE10089,GPL96,"[HG-U133A] Affymetrix Human Genome U133A Array",23,Histone deacetylase (HDAC) inhibitors (Trichostatin A and Vorinostat),Non-small cell lung cancer (NSCLC),Lung cancer cell lines,18606719,,,
GSE189926,GPL24676	,"Illumina NovaSeq 6000 (Homo sapiens)",23,Disulfiram and Nivolumab,Advanced gastric cancer,Gastric cancer specimens,,,,
GSE199451,GPL11154,Illumina HiSeq 2000 (Homo sapiens),22,,Acute myeloid leukemia (AML),Peripheral blood samples collected from AML patients at diagnosis and relapse.,35618837,,,
GSE162187,GPL20301,"Illumina HiSeq 4000 (Homo sapiens)",22,,breast cancer with neoadjuvant chemotherapy,biomarkers of chemotherapy response,36338974,,,
GSE102633,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",22,Metformin,Tuberculosis,Blood (PBMCs),30753544,,,
GSE75602,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",22,Epidermal growth factor receptor (EGFR) inhibitors (gefitinib and WZ4002),,Tumor cells,26828195,,,
GSE56022,GPL11154; GPL16791	,Illumina HiSeq 2000 & 2500 (Homo sapiens),22,Dexamethasone (Dex),Triple-negative breast cancer (TNBC),Breast cancer cells (MDA-MB-231),26374485,,,
GSE18124,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,22,Amblyomin-X,pancreas adenocarcinoma and melanoma,human tumor cell lines (Mia-PaCa-2 and SK-Mel-28),20570593,,,
GSE8604,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,22,Hydralazine and magnesium valproate,Cervical carcinoma,Primary cervical tumors,,,,
GSE5108,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,22,,Endometriosis,Eutopic endometrium and ectopic endometrium,17462640,,,
GSE5108,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,22,,Endometriosis,Eutopic endometrium and ectopic endometrium,17462640,,,
GSE109027,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",21,,Diffuse Large B-cell Lymphoma (DLBCL),Samples from DLBCL patients were used for gene expression profiling,,,,
GSE134045,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",21,Digoxin; Digitoxigenin; Fenbendazole; Mebendazole; Etoposide; Irinoteca; Cytarabine; Trifluridine; SAHA; TSA; and Valproic-Acid,glioblastoma,Glioblastoma tumor propagating cells,31637999,,,
GSE85180,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",21,Troglitazone and rosiglitazone; as well as other hepatotoxins (nefazodone; ibufenac; and tolcapone),Drug-induced liver injury,Micropatterned co-cultures (MPCCs) containing primary human hepatocytes (PHH) colonies and 3T3-J2 fibroblast,,,,
GSE58375,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",21,Smoothened inhibitors,Basal cell carcinoma,Skin,25759020,,,
GSE10145,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,21,Azacytidine,,MCF7 cells (breast cancer cell line),18322535,,,
GSE185623,GPL18573; GPL19057,Illumina NextSeq 500 (Homo sapiens & Mus musculus),20,,,,,,,
GSE198701,GPL13158,"Affymetrix HT HG-U133+ PM Array Plate",20,Carboplatin (CBP),High-Grade Ovarian Carcinoma (HGOC),Ovary,,,,
GSE143007,GPL23159,[Clariom_S_Human] Affymetrix Clariom S Assay; Human (Includes Pico Assay),20,prexasertib,,a cell line panel representing multiple tumor types,32076484,,,
GSE122404,GPL16686,Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],20,BET-bromodomain inhibitor JQ1,MYC-driven medulloblastoma,medulloblastoma cell lines,31160565,,,
GSE12968,GPL96,Affymetrix Human Genome U133A Array,20,LGD-4665 and eltrombopag (small molecule TPO mimetics),,Human bone marrow CD34+ cells,,,,
GSE87006,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",20,Palbociclib,Breast cancer,Breast cancer cell lines,28566333,,,
GSE78142,GPL18573; GPL11154,Illumina NextSeq 500 (Homo sapiens); Illumina HiSeq 2000 (Homo sapiens),20,MLL1 protein,,senescence-associated secretory phenotype (SASP),26833731,,,
GSE44392,GPL6244,Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],20,edelfosine,,human CD4+ T cells,24667731,,,
GSE24547,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",20,Danusertib,Ovary; breast; and colon carcinoma,Tumor cell lines (A2780; MCF-7; MDA-MB-468; HCT116; and Colo205),21914463,,,
GSE20568,GPL10117,UHN_human_single-spotted 19k cDNA array_version 8,20,,Alcohol abuse and nicotine addiction,Human nucleus accumbens,20477762,,,
GSE3929,GPL96; GPL8300,Affymetrix Human Genome U133A Array; [HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,20,Anthracycline (daunorubicin or doxorubicin),Gastric; pancreatic; colon; and breast cancer cell lines,,20010949,,,
GSE12860,GPL96,Affymetrix Human Genome U133A Array,20,azathioprine; sodium aurothiomalate; chloroquine phosphate; methotrexate; non-steroidal anti-inflammatory drugs (NSAIDs) such as piroxicam and diclofenac; and steroidal anti-inflammatory drugs (SAIDs) such as methylprednisolone and prednisolone,the role of chondrocytes in rheumatoid arthritis-related cartilage destruction and antirheumatic drug-related regenerative processes,human chondrocytes cultured in alginate beads,19192274,,,
GSE6692,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,20,Interferon Beta 1a,Relapsing-Remitting Multiple Sclerosis,lymphocytes,,,,
GSE225278,GPL11154,Illumina HiSeq 2000 (Homo sapiens),19,village cultures of human induced pluripotent stem cells (hiPSCs),population-scale studies,single-cell RNA sequence data from hiPSC lines cultured independently (uni-culture) and in villages at three independent sites,,,,
GSE85548,GPL19886,NanoString Prognostic Liver Signature (PLS) panel (186 genes; ver.1),19,Prognostic Liver Signature profiles in biopsy,,chronic hepatitis C patients followed for fibrosis progression,34951993,,,
GSE136725,GPL23227,BGISEQ-500 (Homo sapiens),19,Bortezomib,Multiple Myeloma,B cell maturation antigen (BCMA) positive cells; MM cell line MM1.S; and xenograft MM mouse models,33250513,,,
GSE138832,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",19,tumor necrosis factor-related apoptosis-inducing ligand (TRAIL),,HeLa cells (human cervical cancer cell line),33099406,,,
GSE91079,GPL4133,Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Feature Number version),19,Abatacept,Rheumatoid Arthritis,Blood,32760165,,,
GSE150949,GPL20795,HiSeq X Ten (Homo sapiens),19,Osimertinib,Lung cancer,PC9 cells,34381210,,,
GSE114976,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",19,,,human embryonic stem cells differentiated into atrial or ventricular cardiomyocytes,30686581,,,
GSE70169,GPL10558; GPL16244,Illumina HumanHT-12 V4.0 expression beadchip; Agilent-016322 Yeast (V2) Gene Expression 8x15K Microarray (Probe Name version),19,DFNA5 gene,autosomal dominant hearing loss and is also a tumor suppressor gene involved in frequent forms of cancer,human cell lines and Saccharomyces cerevisiae as models,26236191,,,
GSE66495,GPL10558,Illumina HumanHT-12 V4.0 expression beadchip,19,gene expression patterns,organ-specific metastatic cells derived from the MDA-MB-231 breast cancer cell line,human breast cancer cell line MDA-MB-231,,,,
GSE7890,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",19,keloid,dermis,hydrocortisone,17989729,,,
GSE7890,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",19,keloid,dermis,hydrocortisone,17989729,,,
GSE222202,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),18,prognosis and potential responses,molecular profiling of colorectal cancer,targeted and immunotherapies,,,,
GSE188527,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),18,recapitulate key components of CCA tumor biology; including transcriptome profiles; migration patterns; EMT; and ECM protein production,decellularization to study the role of epithelial tumor cells in ECM deposition and desmoplasiaproliferation; survival; and migration; through a multi-omics approach,proliferation; survival; and migration; through a multi-omics approach,,,,
GSE160742,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",18,S63845 resistance mechanism,,,,,,
GSE202714,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",18,transcriptomic and proteomic changes,potential targets for drug development for cardiac fibrosis,activated cardiac fibroblasts from different sources,36531712,,,
GSE175483,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),18,Prednisolone,Childhood acute lymphoblastic leukemia (ALL),ALL cell lines,36028659,,,
GSE168987,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",18,CHK1 inhibitor Prexasertib and Gemcitabine,Cancer,Retina-pigment epithelial (RPE-hTERT) cells and bladder cancer cell line (UM-UC-3),35393546,,,
GSE198887,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",18,Cisplatin,,a cell culture of human origin based on the organism,35399185,,,
GSE166186,GPL570,"[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array",18,Elafibranor,Non-alcoholic steatohepatitis (NASH),Hepatic in vitro models including human skin stem cell-derived hepatic progenitors (hSKP-HPC); primary human hepatocytes (PHH) and HepaRG cells.,35269515,,,
GSE163556,GPL18573,"Illumina NextSeq 500 (Homo sapiens)",18,Idebenone and Bezafibrate,,Human induced pluripotent stem cell (hiPSC)-derived neural stem cells (NSC); early neural progenitors (eNP); and neural progenitors (NP).,,,,
GSE166256,GPL11154,Illumina HiSeq 2000 (Homo sapiens),18,,,Primary human hepatocytes (PHH) cultured in a 3D printing-based alginate microwell system or a commercially available perfused bioreactor; with biophysical and biochemical microenvironment cues modulated using synthetic extracellular matrix (ECM) hydrogel scaffolds and a defined set of growth factors and signaling modulators.,,,,
GSE176520,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),18,PTC-028,Fusion-positive rhabdomyosarcoma (FP-RMS),FP-RMS cell lines Rh28 and Rh30.,,,,
GSE164088,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),18,Olaparib and Niraparib (PARP inhibitors),Ovarian cancer,Primary cancer-associated fibroblasts (CAFs) derived from ovarian cancer patients.,34108603,,,
GSE153871,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),18,Cytarabine,,U2OS cells (a human bone osteosarcoma epithelial cell line),34716195,,,
GSE164813,GPL15207,"[PrimeView] Affymetrix Human Gene Expression Array",18,JQ1,lung adenocarcinoma,human lung adenocarcinoma cell lines,33712563,,,
GSE123250,GPL21290,"Illumina HiSeq 3000 (Homo sapiens)",18,BET inhibitor,liver cancer,liver (HepG2 and Hep3B cells),33667649,,,
GSE143561,GPL20301,Illumina HiSeq 4000 (Homo sapiens),18,hypothesis,generating mRNA profiles,,33558336,,,
GSE163906,GPL16791,"Illumina HiSeq 2500 (Homo sapiens)",18,Carfilzomib,Glioblastoma,Glioblastoma stem cells (GSCs),33428749,,,
GSE156445,GPL17586,Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],18,aqeuous extract of Cissampelos pareira,molecular mechanism of action of this Ayurvedic mono-herbal formulation,MCF7 cell lines treated with three doses of the extract and one vehicle control,34635729,,,
GSE155241,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),18,imatinib; mycophenolic acid (MPA); and quinacrine dihydrochloride (QNHC),COVID-19,Lung and colonic organoids derived from human pluripotent stem cells (hPSC-LOs and hPSC-COs),33116299,,,
GSE151090,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),18,Verteporfin (VP),Human nucleus pulposus,Human nucleus pulposus cells,33392449,,,
GSE129693,GPL8737; GPL16791        ,Agilent-021529 Human CGH Whole Genome Microarray 1x1M (G4447A) (Probe Name version); Illumina HiSeq 2500 (Homo sapiens),18,Cisplatin,Platinum-resistant epithelial tumors (including lung and ovarian tumors),Lung and ovarian paired cisplatin-sensitive/resistant cell lines; primary tumors; and control samples,32224864,,,
GSE118565,GPL18573,Illumina NextSeq 500 (Homo sapiens),18,CX-5461; I-BET151; and doxorubicin,Acute Myeloid Leukemia (AML),MV4-11 AML cell line,,,,
GSE121049,GPL16791,Illumina HiSeq 2500 (Homo sapiens),18,Tri-mannose grafting of chitosan nanocarriers,bacterial infection,Macrophages,30683129,,,
GSE110369,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,18,Doxorubicin or Nutlin-3,PHA-stimulated human T-lymphocytes,PHA-stimulated human T-lymphocytes cell,30107566,,,
GSE117160,GPL11154; GPL18573        ,"Illumina HiSeq 2000 (Homo sapiens); Illumina NextSeq 500 (Homo sapiens)
",18,Clofazimine,Multiple myeloma and prostate cancer,Human multiple myeloma MM1S cells and human normal fibroblasts WI38 cells,30198908,,,
GSE116810,GPL16791,Illumina HiSeq 2500 (Homo sapiens),18,Selinexor,Mantle cell lymphoma (MCL),MCL cell lines and primary MCL tumors,33570628,,,
GSE95625,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],18,sodium stibogluconate,visceral leishmaniasis,patients samples,,,,
GSE92624,"
GPL16699",Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381 (Feature Number version),18,Imatinib,Chronic myelogenous leukemia (CML),Chronic myelogenous leukemia (CML),29429960,,,
GSE76092,GPL21253,HumanV2 GE 8x60K Microarrays; Agilent design ID: 039494 (original references: GPL19775 and GPL19773),18,Curcumin and oxaliplatin,Colorectal cancer,Colorectal cancer-derived cell lines,27091625,,,
GSE83297,GPL6244,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [transcript (gene) version],18,Aminaphtone,chronic venous insufficiency (CVI),ECV304 endothelial cells,27083548; 27508230,,,
GSE29763,GPL2895,GE Healthcare/Amersham Biosciences CodeLink Human Whole Genome Bioarray,18,mifepristone,ovarian cancer,ovarian cancer cell lines,27233943,,,
GSE16424,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,18,Cisplatin,Ovarian cancer,SK-OV-3 ovarian cancer cells,16731744,,,
GSE2189,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,18,motexafin gadolinium (MGd),lung cancer,Human lung cancer (A549),15867382,,,
GSE184242,GPL20301,Illumina HiSeq 4000 (Homo sapiens),17,AZD5153,Diffuse large B-cell lymphoma (DLBCL),Diffuse large B-cell lymphoma (DLBCL),,,,
GSE183893,GPL21290,Illumina HiSeq 3000 (Homo sapiens),17,PORCN inhibitor ETC-159,RNF43-mutant pancreatic adenocarcinoma,HPAF-II cells (orthotopic xenografts),35536676,,,
GSE147971,GPL15207,[PrimeView] Affymetrix Human Gene Expression Array,17,Topotecan,Neuroblastoma,neuroblastoma cell lines,,,,
GSE24946,GPL11118,HIS/SIBS Human 15K cDNA array,17,AMN107 and ATO,human leukemia,human leukemia cell line K562 offspring,23883479,,,
GSE8565,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,17,Argyrin A,colon cancer,colon cancer xenografts,18598941,,,
GSE178267,GPL16791,Illumina HiSeq 2500 (Homo sapiens),16,Vemurafenib,BRAFV600E Positive Thyroid Cancer cell,BRAFV600E+ thyroid cancer cell lines 8505C and WRO,36790391,,,
GSE196065,GPL18573,Illumina NextSeq 500 (Homo sapiens),16,Macitentan,High-grade serous ovarian cancer,Patient-derived primary cultures of HG-SOC cells (PMOV10),36604418,,,
GSE214342,GPL21290,Illumina HiSeq 3000 (Homo sapiens),16,combination chemotherapy,SCLC,SCLC cell lines,36509998,,,
GSE122739,GPL16791; GPL17021; GPL22245,"Illumina HiSeq 2500 (Homo sapiens); Illumina HiSeq 2500 (Mus musculus); Illumina HiSeq 2500 (Homo sapiens; Mus musculus)
",16,Ibrutinib,Mantle cell lymphoma (MCL),Lymphoma cells and stromal cells,32370190,,,
GSE116192,GPL16791,Illumina HiSeq 2500 (Homo sapiens),16,Cisplatin,Lung adenocarcinoma,cisplatin resistant (A549/cDDP) cells and their parental cell line,,,,
GSE161235,GPL21697,NextSeq 550 (Homo sapiens),16,RITA and GANT61,Rhabdomyosarcoma,Mouse xenograft tumors of human Rh36 cells,,,,
GSE136039,GPL17586,[HTA-2_0] Affymetrix Human Transcriptome Array 2.0 [transcript (gene) version],16,Rhein,Cardiac fibrosis ,Human ventricular cardiac fibroblasts,32184434,,,
GSE106609,GPL9115,Illumina Genome Analyzer II (Homo sapiens),16,cisplatin,ovarian cancer,SK-OV-3 ovarian cancer cells,,,,
GSE93112,GPL16686,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],,Azacitidine,AML,AML cell lines,30584089,,,
GSE72905,GPL13607,Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Feature Number version),16,ruthenium(II)-arene complex,solid tumors,HeLa cells,,,,
GSE40080,GPL5175,[HuEx-1_0-st] Affymetrix Human Exon 1.0 ST Array [transcript (gene) version],16,imatinib,gastrointestinal stromal tumor,GIST cells,23372733,,,
GSE34112,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,16,NO-sulindac,prostate cancer,prostate cancer cells,,,,
GSE12791,GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,16,Bexarotene (LGD1069; Targretin); Paclitaxel,Breast cancer,MDA-MB-231 cells,21737656,,,
GSE4090,GPL3386,SHGB,16,Colchicine,Rheumatic diseases,HUVEC (human umbilical vein endothelial cell line),16188942,,,
GSE202536,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,15,doxorubicin,triple negative breast cancer,CAL51 cells,,,,
GSE212470,GPL21697; GPL24676,"NextSeq 550 (Homo sapiens); Illumina NovaSeq 6000 (Homo sapiens)
",15,DNA topoisomerase 1 (TOP1) inhibitors,cancer, ,,,,
GSE202687,GPL24676,Illumina NovaSeq 6000 (Homo sapiens),15,Arginine Deprivation plus Nivolumab and Ipilimumab,Metastatic Uveal Melanoma,,35681616,,,
GSE199455,GPL11154,Illumina HiSeq 2000 (Homo sapiens),15,Fedratinib,AML,leukemia cell,35618837,,,
GSE184168,GPL20795,HiSeq X Ten (Homo sapiens),15,Enzalutamide and Decitabine,prostate cancer,Prostate cancer cells,34728570,,,
GSE102038,GPL18573,Illumina NextSeq 500 (Homo sapiens),15,Dexamethasone,ALL,CEM-C1 and CEM-C7),,,,
GSE124963,GPL18573,Illumina NextSeq 500 (Homo sapiens),15,Dihydroergotamine (DHE),AML,MOLM-14 human AML cells,32071334,,,
GSE122860,GPL19956,NanoString nCounter human PanCancer Pathways Panel,15,hymoquinone (TQ); 5-Fluorouracil (5-FU); Combination of the individual compounds (Combi) and the Hybrid compound (SARB),colorectal cancer,HCT116 colorectal cancer cells,31097715,,,
GSE100192,GPL16686,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],15,T-DM1,breast cancer,BT474,28687619,,,
GSE16480,GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,15,Roscovitine (CDK inhibitor),Neuroblastomas,Neuroblastoma cells with MYCN amplification and overexpression,19525400; 25315710,,,
